rule,patientAll,patientA-faulty,patientH-faulty,patientJ-faulty,allPatient-faulty,patientA,patientH,patientJ,allPatient,a95-160,a110-120,patientA-telex,patientH-telex,patientJ-telex,patientAll-telex,patientA_CV0,patientA_CV1,patientA_CV2,patientA_CV3,patientB_CV0,patientB_CV1,patientB_CV2,patientB_CV3,patientC_CV0,patientC_CV1,patientC_CV2,patientC_CV3,patientD_CV0,patientD_CV1,patientD_CV2,patientD_CV3,patientE_CV0,patientE_CV1,patientE_CV2,patientE_CV3,patientF_CV0,patientF_CV1,patientF_CV2,patientF_CV3,patientG_CV0,patientG_CV1,patientG_CV2,patientG_CV3,patientH_CV0,patientH_CV1,patientH_CV2,patientH_CV3,patientI_CV0,patientI_CV1,patientI_CV2,patientI_CV3,patientJ_CV0,patientJ_CV1,patientJ_CV2,patientJ_CV3
1,1,-0.12998243,0.14633618,9.85,-0.01956516,10.15,10.15,9.85,10.15,9.9915,0.146116718,9.9915,9.99429112,9.993548781,0.145605041,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,0.397310328,0.443134138,0.481341079,0.428559076,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15
2,2,9.85,9.85,9.85,9.85,10.15,10.15,9.85,10.15,9.9905,9.994686724,9.9905,9.992331587,9.993138347,10,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,0.408620128,0.408620128,-0.15,0.408620128,-0.15,-0.15,-0.15,-0.15,-0.15,0.328064316,0.328064316,0.328064316,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15
7,3,-9.85,-0.13196689,0.05589071,-0.05690437,-10.15,-10.15,-9.85,-0.2961945,-9.9942,-9.9942,-9.9942,-9.991895658,-9.994730107,-0.199631234,0.563633221,0.608299368,0.555038843,0.565213109,-0.179068563,-0.222675696,-0.295913559,-0.235397847,0.366393258,0.373128091,0.351824642,0.375217972,0.15,0.15,0.15,0.15,0.041345235,0.009107349,-0.08050601,-0.095371802,-0.136601092,-0.120189627,-0.120848637,-0.137968668,0.15,0.15,0.15,0.15,0.447192624,0.453036611,0.399352853,0.441900163,0.300456557,0.370740828,0.354108644,0.372675763,0.57486609,0.608922769,0.555081405,0.582050279
8,4,-9.85,-0.13924414,-0.06594595,-0.09264965,-10.15,-10.15,-9.85,-10.15,-9.9948,-9.9948,-9.9948,-9.992640734,-9.994727446,-10,0.939853311,1.126650206,0.801600285,0.089395614,0.661424808,0.764919454,1.007954016,0.936076382,1.134777442,0.853612529,0.939936553,0.937271942,0.15,0.15,0.15,0.15,0.894387854,0.831126669,0.912253477,1.042467057,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,1.103886709,1.110489348,1.102980423,1.103886709,-0.024766127,0.463057101,-0.111028282,-0.07183398,0.930191171,1.126650206,0.831074209,0.04954844
10,5,-0.46802649,-1.01148604,-1.11948009,-0.73803297,10.15,10.15,9.85,10.15,9.9918,0.144590959,9.9918,9.992745607,9.993399521,-0.3,-1.175374804,-1.175675502,-1.175169696,-1.175160635,-0.15,-0.15,-0.15,-0.15,-1.168907967,-1.163318807,-1.154877348,-1.154547609,-0.608655129,-0.633808008,-0.654505629,-0.575009458,-0.15,-0.15,-0.15,-0.15,-1.005843297,-1.051400415,-0.978526598,-1.068638841,-0.753773823,-0.79854207,-0.746900458,-0.835821388,-1.132589603,-1.130264323,-1.134224421,-1.145339736,-0.15,-0.15,-0.15,-0.15,-1.111792816,-1.132201667,-1.137295486,-1.129879082
12,6,-0.00189912,-0.14765577,-0.15950026,-0.15061604,0.08193783,-0.07328195,0.08079416,-0.31352973,-0.416378334,-0.025879298,-0.0244,-0.1,-0.228221862,0.3,-0.311824864,-0.313822297,-0.284853781,-0.279244209,-0.584629863,-0.568255596,-0.584801713,-0.579767061,-0.220085927,-0.213525289,-0.233666585,-0.258428333,-0.774568846,-0.742447849,-0.667888172,-0.57215932,-0.582040437,-0.581100948,-0.577644715,-0.58539558,-0.797161648,-0.810355078,-0.793380891,-0.802811819,1.25587195,1.25587195,1.23621556,1.31746078,-0.165706701,-0.167328458,-0.192964181,-0.172920033,-0.35392928,-0.33841734,-0.338643232,-0.339432991,-0.312349228,-0.313969517,-0.285764625,-0.282935646
14,7,-0.23557238,0.1099773,0.60691211,-0.1082411,0.65229276,0.45371048,0.16550636,0.49998395,0.774213759,0.096319693,0.0948,0.551187893,0.098877187,0,1.328136808,1.323274985,1.217256932,1.359189037,1.339402056,1.271815483,1.175835628,1.336640853,1.202134212,1.176471164,1.17830318,1.214488671,0.547407969,0.576988012,0.680776198,0.592677292,1.36269525,1.368005086,1.337111845,1.358352124,1.097039079,1.079991441,1.064192039,1.08680245,-0.64540738,-0.70339674,-0.66999797,-0.71943998,1.135080847,1.118442435,1.19058176,1.198051733,1.380384696,1.272022764,1.295394332,1.31460171,1.328708972,1.323814434,1.217259993,1.359101839
15,8,1.27949022,-0.35652061,-0.34587491,-0.32807189,-10.15,-10.15,-9.85,-10.15,-9.9946,-9.990082315,-9.9946,-9.991589441,-9.993759313,0,-0.118592904,-0.169504085,-0.162536119,-0.076429194,-0.748427177,-0.736004863,-0.757202788,-0.743464228,-0.153938346,-0.175480202,-0.209001069,-0.244830583,1.280001179,1.170277459,1.011771504,0.922173359,-0.660831845,-0.659123646,-0.674066479,-0.676733195,-0.737048076,-0.721451522,-0.736799241,-0.74619427,1.257843929,1.273709281,1.419978937,1.561519614,-0.195492338,-0.218708007,-0.250196521,-0.179635616,-0.229212522,-0.226238093,-0.232760405,-0.198224266,-0.174479296,-0.200095299,-0.179919399,-0.124844139
9,9,82.70558073,79.400259,82.59959025,76.64204218,82.70558073,79.400259,82.29959025,76.64204218,79.9996,79.9996,79.9996,84.35611422,79.99766831,70,82.70558073,82.70558073,82.70558073,82.70558073,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79
,10,,,,,,,,,,,,,,,0,0,0,0,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,0,1.5,1.5,1.5,1.5,1.9,1.9,1.9,1.9,0,0,0,0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
,11,,,,,,,,,,,,,,,0,0,0,0,0.3,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0,0,0,0,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0,0,0,0
,12,,,,,,,,,,,,,,,0,0,0,0,83,83,83,83,0,0,0,0,0,0,0,0,77,77,77,77,83,83,83,83,0,0,0,0,77,77,77,77,77,77,77,77,83,83,83,83
,13,,,,,,,,,,,,,,,0,0,0,0,2.6,2.6,2.6,2.6,0,0,0,0,0,0,0,0,2.5,2.5,2.5,2.5,2.3,2.3,2.3,2.3,0,0,0,0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,-0.15,-0.15,-0.15,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
